month,cpi_yoy,period
2008年01月份,7.0781,2008-01
2008年02月份,8.7443,2008-02
2008年03月份,8.3097,2008-03
2008年04月份,8.4829,2008-04
2008年05月份,7.7163,2008-05
2008年06月份,7.0844,2008-06
2008年07月份,6.302,2008-07
2008年08月份,4.9001,2008-08
2008年09月份,4.6425,2008-09
2008年10月份,3.9744,2008-10
2008年11月份,2.434,2008-11
2008年12月份,1.1999,2008-12
2009年01月份,0.95,2009-01
2009年02月份,-1.5582,2009-02
2009年03月份,-1.1714,2009-03
2009年04月份,-1.5,2009-04
2009年05月份,-1.3713,2009-05
2009年06月份,-1.7,2009-06
2009年07月份,-1.8057,2009-07
2009年08月份,-1.2043,2009-08
2009年09月份,-0.7883,2009-09
2009年10月份,-0.53,2009-10
2009年11月份,0.56,2009-11
2009年12月份,1.8559,2009-12
2010年01月份,1.53,2010-01
2010年02月份,2.6953,2010-02
2010年03月份,2.3707,2010-03
2010年04月份,2.8136,2010-04
2010年05月份,3.0613,2010-05
2010年06月份,2.9499,2010-06
2010年07月份,3.3042,2010-07
2010年08月份,3.4794,2010-08
2010年09月份,3.6056,2010-09
2010年10月份,4.3655,2010-10
2010年11月份,5.1192,2010-11
2010年12月份,4.5859,2010-12
2011年01月份,4.9121,2011-01
2011年02月份,4.9443,2011-02
2011年03月份,5.383,2011-03
2011年04月份,5.3442,2011-04
2011年05月份,5.5146,2011-05
2011年06月份,6.3553,2011-06
2011年07月份,6.4508,2011-07
2011年08月份,6.1514,2011-08
2011年09月份,6.0671,2011-09
2011年10月份,5.4954,2011-10
2011年11月份,4.2246,2011-11
2011年12月份,4.0704,2011-12
2012年01月份,4.5485,2012-01
2012年02月份,3.1613,2012-02
2012年03月份,3.5856,2012-03
2012年04月份,3.3653,2012-04
2012年05月份,3.0008,2012-05
2012年06月份,2.1504,2012-06
2012年07月份,1.8,2012-07
2012年08月份,2.0,2012-08
2012年09月份,1.9,2012-09
2012年10月份,1.7,2012-10
2012年11月份,2.0,2012-11
2012年12月份,2.5,2012-12
2013年01月份,2.0,2013-01
2013年02月份,3.2,2013-02
2013年03月份,2.1,2013-03
2013年04月份,2.4,2013-04
2013年05月份,2.0981,2013-05
2013年06月份,2.7,2013-06
2013年07月份,2.7,2013-07
2013年08月份,2.6,2013-08
2013年09月份,3.1,2013-09
2013年10月份,3.2,2013-10
2013年11月份,3.0,2013-11
2013年12月份,2.49871692,2013-12
2014年01月份,2.5,2014-01
