quarter,gdp_yoy,period
2006年第1季度,12.4,2006Q1
2006年第1-2季度,13.1,2006Q2
2006年第1-3季度,12.7,2006Q3
2006年第1-4季度,12.7,2006Q4
2007年第1季度,13.6,2007Q1
2007年第1-2季度,14.3,2007Q2
2007年第1-3季度,14.3,2007Q3
2007年第1-4季度,14.2,2007Q4
2008年第1季度,11.6,2008Q1
2008年第1-2季度,11.3,2008Q2
2008年第1-3季度,10.7,2008Q3
2008年第1-4季度,9.7,2008Q4
2009年第1季度,6.4,2009Q1
2009年第1-2季度,7.3,2009Q2
2009年第1-3季度,8.5,2009Q3
2009年第1-4季度,9.4,2009Q4
2010年第1季度,12.2,2010Q1
2010年第1-2季度,11.4,2010Q2
2010年第1-3季度,10.8,2010Q3
2010年第1-4季度,10.6,2010Q4
2011年第1季度,10.1,2011Q1
2011年第1-2季度,10.0,2011Q2
2011年第1-3季度,9.8,2011Q3
2011年第1-4季度,9.5,2011Q4
2012年第1季度,8.1,2012Q1
2012年第1-2季度,7.9,2012Q2
2012年第1-3季度,7.7,2012Q3
2012年第1-4季度,7.9,2012Q4
2013年第1季度,7.9,2013Q1
2013年第1-2季度,7.7,2013Q2
2013年第1-3季度,7.8,2013Q3
2013年第1-4季度,7.8,2013Q4
2014年第1季度,7.6,2014Q1
2014年第1-2季度,7.6,2014Q2
2014年第1-3季度,7.5,2014Q3
2014年第1-4季度,7.5,2014Q4
2015年第1季度,7.1,2015Q1
2015年第1-2季度,7.1,2015Q2
2015年第1-3季度,7.0,2015Q3
2015年第1-4季度,7.0,2015Q4
2016年第1季度,6.8,2016Q1
2016年第1-2季度,6.8,2016Q2
2016年第1-3季度,6.8,2016Q3
2016年第1-4季度,6.8,2016Q4
2017年第1季度,7.0,2017Q1
2017年第1-2季度,7.0,2017Q2
2017年第1-3季度,6.9,2017Q3
2017年第1-4季度,6.9,2017Q4
2018年第1季度,6.9,2018Q1
2018年第1-2季度,6.9,2018Q2
2018年第1-3季度,6.8,2018Q3
2018年第1-4季度,6.8,2018Q4
2019年第1季度,6.4,2019Q1
2019年第1-2季度,6.2,2019Q2
2019年第1-3季度,6.1,2019Q3
2019年第1-4季度,6.1,2019Q4
2020年第1季度,-6.8,2020Q1
2020年第1-2季度,-1.6,2020Q2
2020年第1-3季度,0.7,2020Q3
2020年第1-4季度,2.3,2020Q4
2021年第1季度,18.9,2021Q1
2021年第1-2季度,13.0,2021Q2
2021年第1-3季度,10.2,2021Q3
2021年第1-4季度,8.6,2021Q4
2022年第1季度,4.8,2022Q1
2022年第1-2季度,2.7,2022Q2
2022年第1-3季度,3.2,2022Q3
2022年第1-4季度,3.1,2022Q4
2023年第1季度,4.7,2023Q1
2023年第1-2季度,5.7,2023Q2
2023年第1-3季度,5.4,2023Q3
2023年第1-4季度,5.4,2023Q4
2024年第1季度,5.3,2024Q1
2024年第1-2季度,5.0,2024Q2
2024年第1-3季度,4.8,2024Q3
2024年第1-4季度,5.0,2024Q4
2025年第1季度,5.4,2025Q1
2025年第1-2季度,5.3,2025Q2
2025年第1-3季度,5.2,2025Q3
2025年第1-4季度,5.0,2025Q4
2026年第1季度,5.0,2026Q1
