month,retail_sales_yoy,period
2008年01月份,21.2,2008-01
2008年02月份,19.1,2008-02
2008年03月份,21.5,2008-03
2008年04月份,22.0,2008-04
2008年05月份,21.6,2008-05
2008年06月份,23.0,2008-06
2008年07月份,23.3,2008-07
2008年08月份,23.2,2008-08
2008年09月份,23.2,2008-09
2008年10月份,22.0,2008-10
2008年11月份,20.8,2008-11
2008年12月份,19.0,2008-12
2009年01月份,18.5,2009-01
2009年02月份,11.6,2009-02
2009年03月份,14.7,2009-03
2009年04月份,14.8,2009-04
2009年05月份,15.2,2009-05
2009年06月份,15.0,2009-06
2009年07月份,15.2,2009-07
2009年08月份,15.4,2009-08
2009年09月份,15.52215106,2009-09
2009年10月份,16.21490275,2009-10
2009年11月份,15.81280386,2009-11
2009年12月份,17.53740038,2009-12
2010年01月份,14.0,2010-01
2010年02月份,22.1,2010-02
2010年03月份,18.0,2010-03
2010年04月份,18.5,2010-04
2010年05月份,18.6573,2010-05
2010年06月份,18.3,2010-06
2010年07月份,17.9481,2010-07
2010年08月份,18.4,2010-08
2010年09月份,18.84,2010-09
2010年10月份,18.64,2010-10
2010年11月份,18.7,2010-11
2010年12月份,19.1,2010-12
2011年01月份,19.9,2011-01
2011年02月份,11.6335,2011-02
2011年03月份,17.4376,2011-03
2011年04月份,17.1216,2011-04
2011年05月份,16.8998,2011-05
2011年06月份,17.6867,2011-06
2011年07月份,17.2,2011-07
2011年08月份,17.0,2011-08
2011年09月份,17.7495,2011-09
2011年10月份,17.2497,2011-10
2011年11月份,17.2678,2011-11
2011年12月份,18.1457,2011-12
2012年03月份,15.1534,2012-03
2012年04月份,14.0789,2012-04
2012年05月份,13.7936,2012-05
2012年06月份,13.744,2012-06
2012年07月份,13.1416,2012-07
2012年08月份,13.2442,2012-08
2012年09月份,14.2,2012-09
2012年10月份,14.5497,2012-10
2012年11月份,14.9,2012-11
2012年12月份,15.2198,2012-12
2013年03月份,12.6003,2013-03
2013年04月份,12.8,2013-04
2013年05月份,12.8922,2013-05
2013年06月份,13.3125,2013-06
2013年07月份,13.2123,2013-07
2013年08月份,13.37012327,2013-08
2013年09月份,13.31426428,2013-09
2013年10月份,13.32015876,2013-10
2013年11月份,13.72125129,2013-11
2013年12月份,13.6,2013-12
2014年03月份,12.24039956,2014-03
2014年04月份,11.9,2014-04
2014年05月份,12.51431834,2014-05
2014年06月份,12.4,2014-06
2014年07月份,12.22174001,2014-07
2014年08月份,11.9013542,2014-08
2014年09月份,11.56760316,2014-09
2014年10月份,11.52076861,2014-10
2014年11月份,11.72080124,2014-11
2014年12月份,11.88911802,2014-12
2015年03月份,10.2445321,2015-03
2015年04月份,10.00244532,2015-04
2015年05月份,10.1302089,2015-05
2015年06月份,10.63195199,2015-06
2015年07月份,10.51232305,2015-07
2015年08月份,10.79231685,2015-08
2015年09月份,10.9,2015-09
2015年10月份,11.02340137,2015-10
2015年11月份,11.17222839,2015-11
2015年12月份,11.1,2015-12
2016年03月份,10.5,2016-03
2016年04月份,10.1,2016-04
2016年05月份,10.0,2016-05
2016年06月份,10.6,2016-06
2016年07月份,10.2,2016-07
2016年08月份,10.6,2016-08
2016年09月份,10.7,2016-09
2016年10月份,10.0,2016-10
2016年11月份,10.8,2016-11
2016年12月份,10.9,2016-12
2017年03月份,10.9,2017-03
2017年04月份,10.7,2017-04
2017年05月份,10.7,2017-05
2017年06月份,11.0,2017-06
2017年07月份,10.4,2017-07
2017年08月份,10.1,2017-08
2017年09月份,10.3,2017-09
2017年10月份,10.0,2017-10
2017年11月份,10.2,2017-11
2017年12月份,9.4,2017-12
2018年03月份,10.1,2018-03
2018年04月份,9.4,2018-04
2018年05月份,8.5,2018-05
2018年06月份,9.0,2018-06
2018年07月份,8.8,2018-07
2018年08月份,9.0,2018-08
2018年09月份,9.2,2018-09
2018年10月份,8.6,2018-10
2018年11月份,8.1,2018-11
2018年12月份,8.2,2018-12
2019年03月份,8.7,2019-03
2019年04月份,7.2,2019-04
2019年05月份,8.6,2019-05
2019年06月份,9.8,2019-06
2019年07月份,7.6,2019-07
2019年08月份,7.5,2019-08
2019年09月份,7.8,2019-09
2019年10月份,7.2,2019-10
2019年11月份,8.0,2019-11
2019年12月份,8.0,2019-12
2020年03月份,-15.8,2020-03
2020年04月份,-7.5,2020-04
2020年05月份,-2.8,2020-05
2020年06月份,-1.8,2020-06
2020年07月份,-1.1,2020-07
2020年08月份,0.5,2020-08
2020年09月份,3.3,2020-09
2020年10月份,4.3,2020-10
2020年11月份,5.0,2020-11
2020年12月份,4.6,2020-12
2021年03月份,34.2,2021-03
2021年04月份,17.7,2021-04
2021年05月份,12.4,2021-05
2021年06月份,12.1,2021-06
2021年07月份,8.5,2021-07
2021年08月份,2.5,2021-08
2021年09月份,4.4,2021-09
2021年10月份,4.9,2021-10
2021年11月份,3.9,2021-11
2021年12月份,1.7,2021-12
2022年03月份,-3.5,2022-03
2022年04月份,-11.1,2022-04
2022年05月份,-6.7,2022-05
2022年06月份,3.1,2022-06
2022年07月份,2.7,2022-07
2022年08月份,5.4,2022-08
2022年09月份,2.5,2022-09
2022年10月份,-0.5,2022-10
2022年11月份,-5.9,2022-11
2022年12月份,-1.8,2022-12
2023年03月份,10.6,2023-03
2023年04月份,18.4,2023-04
2023年05月份,12.7,2023-05
2023年06月份,3.1,2023-06
2023年07月份,2.5,2023-07
2023年08月份,4.6,2023-08
2023年09月份,5.5,2023-09
2023年10月份,7.6,2023-10
2023年11月份,10.1,2023-11
2023年12月份,7.4,2023-12
2024年03月份,3.1,2024-03
2024年04月份,2.3,2024-04
2024年05月份,3.7,2024-05
2024年06月份,2.0,2024-06
2024年07月份,2.7,2024-07
2024年08月份,2.1,2024-08
2024年09月份,3.2,2024-09
2024年10月份,4.8,2024-10
2024年11月份,3.0,2024-11
2024年12月份,3.7,2024-12
2025年03月份,5.9,2025-03
2025年04月份,5.1,2025-04
2025年05月份,6.4,2025-05
2025年06月份,4.8,2025-06
2025年07月份,3.7,2025-07
2025年08月份,3.4,2025-08
2025年09月份,3.0,2025-09
2025年10月份,2.9,2025-10
2025年11月份,1.3,2025-11
2025年12月份,0.9,2025-12
2026年03月份,1.7,2026-03
2026年04月份,0.2,2026-04
2026年05月份,-0.6,2026-05
